Symbol,Index,Industry,Sector,Country or region of registration,Description
TXT,"S&P 500, S&P 500 Industrials, Russell 3000, Russell 1000",Aerospace & defense,Electronic technology,United States,Textron Inc.
TY,,Investment trusts/Mutual funds,Miscellaneous,United States,Tri-Continental Corp
TYG,,Investment trusts/Mutual funds,Miscellaneous,United States,Tortoise Energy Infrastructure Corp
TYL,"S&P 500, S&P 500 Information Technology, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Data processing services,Technology services,United States,"Tyler Technologies, Inc."
U,"Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, NASDAQ CB Insights Metaverse US Index",Packaged software,Technology services,United States,Unity Software Inc.
UA,"S&P MidCap 400, Russell 3000, Russell 1000",Apparel/Footwear,Consumer non-durables,United States,"Under Armour, Inc."
UAN,,Chemicals: agricultural,Process industries,United States,"CVR Partners, LP"
UBER,"S&P 500, Dow Jones Transportation Average, S&P 500 Industrials, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Other transportation,Transportation,United States,"Uber Technologies, Inc."
UCB,"Russell 2000, Russell 3000, Mini-Russell 2000",Regional banks,Finance,United States,"United Community Banks, Inc."
UDR,"S&P 500, S&P 500 Real Estate, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Real estate investment trusts,Finance,United States,"UDR, Inc."
UE,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Urban Edge Properties
UFI,,Textiles,Process industries,United States,"Unifi, Inc. New"
UGI,"S&P MidCap 400, Russell 3000, Russell 1000",Wholesale distributors,Distribution services,United States,UGI Corporation
UHAL,"Russell 3000, Russell 1000",Finance/Rental/Leasing,Finance,United States,U-Haul Holding Company
UHS,"S&P 500, S&P 500 Health Care, Russell 3000, Russell 1000",Hospital/Nursing management,Health services,United States,"Universal Health Services, Inc."
UHT,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Universal Health Realty Income Trust
UI,"Russell 3000, Russell 1000",Telecommunications equipment,Electronic technology,United States,Ubiquiti Inc.
UIS,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Information technology services,Technology services,United States,Unisys Corporation New
ULS,Nasdaq US Small Cap Growth,Miscellaneous commercial services,Commercial services,United States,UL Solutions Inc.
UMH,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"UMH Properties, Inc."
UNF,"Russell 2000, Russell 3000, Mini-Russell 2000",Other consumer services,Consumer services,United States,Unifirst Corporation
UNFI,"Russell 2000, Russell 3000, Mini-Russell 2000",Food distributors,Distribution services,United States,"United Natural Foods, Inc."
UNH,"S&P 500, Dow Jones Industrial Average, S&P 500 Health Care, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, S&P 500 ESG",Managed health care,Health services,United States,UnitedHealth Group Incorporated
UNM,"S&P MidCap 400, Russell 3000, Russell 1000",Multi-line insurance,Finance,United States,Unum Group
UNP,"S&P 500, Dow Jones Transportation Average, S&P 500 Industrials, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, S&P 500 ESG",Railroads,Transportation,United States,Union Pacific Corporation
UP,,Airlines,Transportation,United States,Wheels Up Experience Inc.
UPS,"S&P 500, Dow Jones Transportation Average, S&P 500 Industrials, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000",Air freight/Couriers,Transportation,United States,"United Parcel Service, Inc."
URI,"S&P 500, S&P 500 Industrials, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Finance/Rental/Leasing,Finance,United States,"United Rentals, Inc."
USA,,Investment trusts/Mutual funds,Miscellaneous,United States,Liberty All Star Equity Fund
USAC,PHLX Oil Service Sector,Oilfield services/Equipment,Industrial services,United States,"USA Compression Partners, LP"
USB,"S&P 500, S&P 100, KBW NASDAQ Bank, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG",Regional banks,Finance,United States,U.S. Bancorp
USFD,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, NASDAQ US Benchmark Food Producers",Food distributors,Distribution services,United States,US Foods Holding Corp.
USNA,"Russell 2000, Russell 3000, Mini-Russell 2000, NASDAQ US Benchmark Food Producers",Pharmaceuticals: other,Health technology,United States,"USANA Health Sciences, Inc."
USPH,"Russell 2000, Russell 3000, Mini-Russell 2000",Medical/Nursing services,Health services,United States,"U.S. Physical Therapy, Inc."
UTF,,Investment trusts/Mutual funds,Miscellaneous,United States,"Cohen & Steers Infrastructure Fund, Inc."
UTI,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Miscellaneous commercial services,Commercial services,United States,Universal Technical Institute Inc
UTL,"Russell 2000, Russell 3000, Mini-Russell 2000",Electric utilities,Utilities,United States,UNITIL Corporation
UTZ,"Russell 2000, Russell 3000, Mini-Russell 2000, NASDAQ US Benchmark Food Producers",Food: specialty/candy,Consumer non-durables,United States,Utz Brands Inc
UVE,"Russell 2000, Russell 3000, Mini-Russell 2000",Property/Casualty insurance,Finance,United States,UNIVERSAL INSURANCE HOLDINGS INC
UVV,"Russell 2000, Russell 3000, Mini-Russell 2000",Wholesale distributors,Distribution services,United States,Universal Corporation
UWMC,"Russell 3000, Russell 1000",Finance/Rental/Leasing,Finance,United States,UWM Holdings Corporation
V,"S&P 500, Dow Jones Industrial Average, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, S&P 500 Financials, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, KBW NASDAQ Financial Technology Index",Finance/Rental/Leasing,Finance,United States,Visa Inc.
VAC,"Russell 2000, S&P MidCap 400, Russell 3000, Mini-Russell 2000",Other consumer services,Consumer services,United States,Marriott Vacations Worldwide Corporation
VACI.U,,,,,Viking Acquisition Corp. I Units Cons of 1 Shs-A + 1/3 Red Wt
VAL,"Russell 2000, S&P MidCap 400, Russell 3000, Mini-Russell 2000",Contract drilling,Industrial services,Bermuda,Valaris Limited
VATE,,Engineering & construction,Industrial services,United States,INNOVATE Corp.
VBF,,Investment trusts/Mutual funds,Miscellaneous,United States,Invesco Bond Fund
VCV,,Investment trusts/Mutual funds,Miscellaneous,United States,Invesco California Value Municipal Income Trust
VEEV,"ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000",Packaged software,Technology services,United States,Veeva Systems Inc.
VEL,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Finance/Rental/Leasing,Finance,United States,"Velocity Financial, Inc."
VFC,"S&P MidCap 400, Russell 3000, Russell 1000",Apparel/Footwear,Consumer non-durables,United States,V.F. Corporation
VG,Nasdaq US Small Cap Growth,Oil & gas pipelines,Industrial services,United States,"Venture Global, Inc."
VGI,,Investment trusts/Mutual funds,Miscellaneous,United States,Virtus Global Multi-Sector Income Fund
VGM,,Investment trusts/Mutual funds,Miscellaneous,United States,Invesco Trust for Investment Grade Municipals
VHI,"Russell 2000, Mini-Russell 2000",Chemicals: specialty,Process industries,United States,"Valhi, Inc."
VIA,,Packaged software,Technology services,United States,"Via Transportation, Inc."
VICI,"S&P 500, S&P 500 Real Estate, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000",Real estate investment trusts,Finance,United States,VICI Properties Inc
VIK,"Russell 3000, Russell 1000",Hotels/Resorts/Cruise lines,Consumer services,Bermuda,Viking Holdings Ltd
VIPS,NASDAQ Golden Dragon China,Internet retail,Retail trade,China,Vipshop Holdings Ltd Sponsored ADR
VIRT,"Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Investment banks/Brokers,Finance,United States,"Virtu Financial, Inc."
VKQ,,Investment trusts/Mutual funds,Miscellaneous,United States,Invesco Municipal Trust
VLN,,Semiconductors,Electronic technology,Israel,Valens Semiconductor Ltd.
VLO,"S&P 500, S&P 500 Energy, Russell 3000, Russell 1000, S&P 500 ESG",Oil refining/Marketing,Energy minerals,United States,Valero Energy Corporation
VLT,,Investment trusts/Mutual funds,Miscellaneous,United States,Invesco High Income Trust II
VLTO,"S&P 500, S&P 500 Industrials, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Industrial machinery,Producer manufacturing,United States,Veralto Corp
VMC,"S&P 500, S&P 500 Materials, Nasdaq US Large Cap Growth, Russell 3000, PHLX Housing Sector, Russell 1000",Construction materials,Non-energy minerals,United States,Vulcan Materials Company (Holding Company)
VMI,"S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Metal fabrication,Producer manufacturing,United States,"Valmont Industries, Inc."
VMO,,Investment trusts/Mutual funds,Miscellaneous,United States,Invesco Municipal Opportunity Trust
VNO,"S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Real estate investment trusts,Finance,United States,Vornado Realty Trust
VNT,"S&P MidCap 400, Russell 3000, Russell 1000",Other transportation,Transportation,United States,Vontier Corporation
