Symbol,Index,Industry,Sector,Country or region of registration,Description
A,"S&P 500, S&P 500 Health Care, Russell 3000, Russell 1000, S&P 500 ESG",Medical specialties,Health technology,United States,"Agilent Technologies, Inc."
AA,"S&P MidCap 400, Russell 3000, Russell 1000",Aluminum,Non-energy minerals,United States,Alcoa Corporation
AAM,,Financial conglomerates,Finance,United States,AA Mission Acquisition Corp.
AAMI,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Investment managers,Finance,United States,Acadian Asset Management Inc.
AAP,"Russell 2000, Russell 3000, Mini-Russell 2000",Specialty stores,Retail trade,United States,Advance Auto Parts Inc.
AAT,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"American Assets Trust, Inc."
AB,,Investment managers,Finance,United States,AllianceBernstein Holding L.P.
ABBV,"S&P 500, S&P 500 Health Care, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG",Pharmaceuticals: major,Health technology,United States,AbbVie Inc.
ABCB,"Russell 2000, Russell 3000, Mini-Russell 2000",Regional banks,Finance,United States,Ameris Bancorp
ABG,"Russell 2000, Russell 3000, Mini-Russell 2000",Specialty stores,Retail trade,United States,Asbury Automotive Group Inc
ABM,"Russell 2000, Russell 3000, Mini-Russell 2000",Miscellaneous commercial services,Commercial services,United States,ABM Industries Incorporated
ABR,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Arbor Realty Trust Inc
ABT,"S&P 500, S&P 500 Health Care, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Medical specialties,Health technology,United States,Abbott Laboratories
ACA,"Russell 2000, Russell 3000, Mini-Russell 2000",Construction materials,Non-energy minerals,United States,"Arcosa, Inc."
ACCO,"Russell 2000, Russell 3000, Mini-Russell 2000",Office equipment/Supplies,Producer manufacturing,United States,Acco Brands Corporation
ACEL,"Russell 2000, Russell 3000, Mini-Russell 2000",Movies/Entertainment,Consumer services,United States,"Accel Entertainment, Inc."
ACHR,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Aerospace & defense,Electronic technology,United States,Archer Aviation Inc.
ACI,"S&P MidCap 400, Russell 3000, Russell 1000",Food retail,Retail trade,United States,"Albertsons Companies, Inc."
ACM,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Engineering & construction,Industrial services,United States,AECOM
ACN,"S&P 500, S&P 500 Information Technology, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG",Information technology services,Technology services,Ireland,Accenture plc
ACP,,Investment trusts/Mutual funds,Miscellaneous,United States,abrdn Income Credit Strategies Fund of Benef Interest
ACR,"Russell 2000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,ACRES Commercial Realty Corp.
ACRE,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Ares Commercial Real Estate Corporation
ACV,,Investment trusts/Mutual funds,Miscellaneous,United States,Virtus Diversified Income & Convertible Fund
ACVA,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Internet software/Services,Technology services,United States,ACV Auctions Inc.
AD,,Wireless telecommunications,Communications,United States,"Array Digital Infrastructure, Inc."
ADC,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Real estate investment trusts,Finance,United States,Agree Realty Corporation
ADCT,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Pharmaceuticals: major,Health technology,Switzerland,ADC Therapeutics SA
ADM,"S&P 500, S&P 500 Consumer Staples, Russell 3000, Russell 1000, S&P 500 ESG, NASDAQ US Benchmark Food Producers",Agricultural commodities/Milling,Process industries,United States,Archer-Daniels-Midland Company
ADNT,"Russell 2000, Russell 3000, Mini-Russell 2000",Auto parts: OEM,Producer manufacturing,United States,Adient plc
ADT,"Russell 3000, Russell 1000",Miscellaneous commercial services,Commercial services,United States,ADT Inc.
ADX,,Investment trusts/Mutual funds,Miscellaneous,United States,Adams Diversified Equity Fund Inc Shs
AEE,"S&P 500, S&P 500 Utilities, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, PHLX Utilities Sector",Electric utilities,Utilities,United States,Ameren Corporation
AEFC,,Finance/Rental/Leasing,Finance,United States,Aegon Funding Company LLC 5.10% Subordinated Notes due 2049
AEO,"Russell 2000, Russell 3000, Mini-Russell 2000",Apparel/Footwear retail,Retail trade,United States,"American Eagle Outfitters, Inc."
AER,,Finance/Rental/Leasing,Finance,Ireland,AerCap Holdings N.V.
AES,"S&P 500, S&P 500 Utilities, Russell 3000, Russell 1000, PHLX Utilities Sector",Electric utilities,Utilities,United States,The AES Corporation
AESI,"Russell 2000, Russell 3000, Mini-Russell 2000",Oilfield services/Equipment,Industrial services,United States,Atlas Energy Solutions Inc.
AEXA,,Financial conglomerates,Finance,United States,American Exceptionalism Acquisition Corp. A
AFB,,Investment trusts/Mutual funds,Miscellaneous,United States,AllianceBernstein National Municipal Income FundInc National Municipal Income Fund
AFG,"S&P MidCap 400, Russell 3000, Russell 1000",Property/Casualty insurance,Finance,United States,"American Financial Group, Inc."
AFL,"S&P 500, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG",Multi-line insurance,Finance,United States,AFLAC Incorporated
AGCO,"S&P MidCap 400, Russell 3000, Russell 1000",Trucks/Construction/Farm machinery,Producer manufacturing,United States,AGCO Corporation
AGD,,Investment trusts/Mutual funds,Miscellaneous,United States,abrdn Global Dynamic Dividend Fund
AGL,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Medical/Nursing services,Health services,United States,"agilon health, inc."
AGM,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Finance/Rental/Leasing,Finance,United States,Federal Agricultural Mortgage Corporation
AGO,"Russell 3000, Russell 1000",Specialty insurance,Finance,Bermuda,Assured Guaranty Ltd.
AGRO,,Agricultural commodities/Milling,Process industries,Luxembourg,Adecoagro S.A.
AGX,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Engineering & construction,Industrial services,United States,"Argan, Inc."
AHH,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"Armada Hoffler Properties, Inc."
AHL,"Russell 2000, Mini-Russell 2000",Multi-line insurance,Finance,Bermuda,Aspen Insurance Holdings Limited
AHR,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"American Healthcare REIT, Inc."
AHT,,Real estate investment trusts,Finance,United States,"Ashford Hospitality Trust, Inc."
AI,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Packaged software,Technology services,United States,"C3.ai, Inc."
AIG,"S&P 500, S&P 100, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG",Multi-line insurance,Finance,United States,"American International Group, Inc. New"
AII,"Russell 2000, Mini-Russell 2000",Property/Casualty insurance,Finance,United States,"American Integrity Insurance Group, Inc."
AIIA.U,,Financial conglomerates,Finance,United States,AI Infrastructure Acquisition Corp. Units Cons of 1 Shs A + 1/5 Rt
AIN,"Russell 2000, Russell 3000, Mini-Russell 2000",Textiles,Process industries,United States,Albany International Corporation
AIO,,Investment trusts/Mutual funds,Miscellaneous,United States,Virtus Artificial Intelligence & Technology Opportunities Fund
AIR,"Russell 2000, Russell 3000, Mini-Russell 2000",Aerospace & defense,Electronic technology,United States,AAR Corp.
AIT,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Wholesale distributors,Distribution services,United States,"Applied Industrial Technologies, Inc."
AIV,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Apartment Investment and Management Company Class A
AIZ,"S&P 500, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG",Property/Casualty insurance,Finance,United States,"Assurant, Inc."
AJG,"S&P 500, Nasdaq US Large Cap Growth, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG",Insurance brokers/Services,Finance,United States,Arthur J. Gallagher & Co.
AKA,,Internet retail,Retail trade,United States,a.k.a. Brands Holding Corp.
AKR,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Acadia Realty Trust
AL,"Russell 3000, Russell 1000",Finance/Rental/Leasing,Finance,United States,Air Lease Corporation
ALB,"S&P 500, S&P 500 Materials, Russell 3000, Russell 1000, S&P 500 ESG, NASDAQ Clean Edge Green Energy",Chemicals: specialty,Process industries,United States,Albemarle Corporation
ALE,"Russell 2000, S&P MidCap 400, Russell 3000, Mini-Russell 2000",Alternative power generation,Utilities,United States,"Allete, Inc."
ALEX,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"Alexander & Baldwin, Inc."
ALG,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Trucks/Construction/Farm machinery,Producer manufacturing,United States,"Alamo Group, Inc."
ALH,,Industrial machinery,Producer manufacturing,United States,Alliance Laundry Holdings Inc.
ALIT,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Information technology services,Technology services,United States,"Alight, Inc."
ALK,"Dow Jones Transportation Average, S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Dow Jones Composite Average, Russell 1000",Airlines,Transportation,United States,"Alaska Air Group, Inc."
ALL,"S&P 500, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG",Multi-line insurance,Finance,United States,Allstate Corporation (The)
ALLE,"S&P 500, S&P 500 Industrials, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Tools & hardware,Consumer durables,Ireland,Allegion plc
ALLY,"S&P MidCap 400, Russell 3000, Russell 1000",Regional banks,Finance,United States,Ally Financial Inc.
ALSN,"Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Auto parts: OEM,Producer manufacturing,United States,"Allison Transmission Holdings, Inc."
ALTG,"Russell 2000, Russell 3000, Mini-Russell 2000",Wholesale distributors,Distribution services,United States,Alta Equipment Group Inc.
ALUR,,Medical specialties,Health technology,United States,"Allurion Technologies, Inc."
ALV,S&P MidCap 400,Auto parts: OEM,Producer manufacturing,Sweden,"Autoliv, Inc."
ALX,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"Alexander's, Inc."
AM,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Oil & gas pipelines,Industrial services,United States,Antero Midstream Corporation
AMBP,"Russell 2000, Russell 3000, Mini-Russell 2000",Containers/Packaging,Process industries,Luxembourg,Ardagh Metal Packaging S.A.
AMBQ,"Russell 2000, Mini-Russell 2000",Semiconductors,Electronic technology,United States,"Ambiq Micro, Inc."
AMC,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Movies/Entertainment,Consumer services,United States,"AMC Entertainment Holdings, Inc."
AMCR,"S&P 500, S&P 500 Materials, Russell 3000, Russell 1000, S&P 500 ESG",Containers/Packaging,Process industries,Switzerland,Amcor plc
AME,"S&P 500, S&P 500 Industrials, Russell 3000, Russell 1000, S&P 500 ESG",Electrical products,Producer manufacturing,United States,"AMETEK, Inc."
AMG,"S&P MidCap 400, Russell 3000, Russell 1000",Investment managers,Finance,United States,"Affiliated Managers Group, Inc."
AMH,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Real estate investment trusts,Finance,United States,American Homes 4 Rent Class A
AMN,"Russell 2000, Russell 3000, Mini-Russell 2000",Personnel services,Commercial services,United States,AMN Healthcare Services Inc
AMP,"S&P 500, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG",Investment banks/Brokers,Finance,United States,"Ameriprise Financial, Inc."
AMPX,"Russell 2000, Nasdaq US Small Cap Growth, Mini-Russell 2000",Electrical products,Producer manufacturing,United States,"Amprius Technologies, Inc."
AMPY,,Integrated oil,Energy minerals,United States,Amplify Energy Corp.
AMR,"Russell 2000, Russell 3000, Mini-Russell 2000",Coal,Energy minerals,United States,"Alpha Metallurgical Resources, Inc."
AMRC,"Russell 2000, Russell 3000, Mini-Russell 2000, NASDAQ Clean Edge Green Energy",Engineering & construction,Industrial services,United States,"Ameresco, Inc."
AMT,"S&P 500, S&P 500 Real Estate, S&P 100, Russell 3000, Russell 1000, S&P 500 ESG",Real estate investment trusts,Finance,United States,American Tower Corporation
AMTB,"Russell 2000, Russell 3000, Mini-Russell 2000",Major banks,Finance,United States,Amerant Bancorp Inc.
AMTD,,Investment banks/Brokers,Finance,France,AMTD IDEA Group Sponsored ADR Class A
AMTM,"Russell 3000, Russell 1000",Aerospace & defense,Electronic technology,United States,"Amentum Holdings, Inc."
AMWL,,Packaged software,Technology services,United States,American Well Corporation
AN,"S&P MidCap 400, Russell 3000, Russell 1000",Specialty stores,Retail trade,United States,"AutoNation, Inc."
ANET,"S&P 500, S&P 500 Information Technology, ISE CTA Cloud Computing, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000",Computer peripherals,Electronic technology,United States,"Arista Networks, Inc."
ANF,"Russell 2000, S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Apparel/Footwear retail,Retail trade,United States,Abercrombie & Fitch Company
ANG/PD,,Life/Health insurance,Finance,United States,"American National Group Inc. Depositary Shares, each representing a 1/1000th interest in a share of 7.375% Fixed-Rate Non-Cumulative Preferred Stock, Series D"
ANGX,,Movies/Entertainment,Consumer services,United States,"Angel Studios, Inc."
ANRO,,Biotechnology,Health technology,United States,"Alto Neuroscience, Inc."
ANVS,,Pharmaceuticals: major,Health technology,United States,"Annovis Bio, Inc."
AOD,,Investment trusts/Mutual funds,Miscellaneous,United States,abrdn Total Dynamic Dividend Fund
AOMR,"Russell 2000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"Angel Oak Mortgage REIT, Inc."
AON,"S&P 500, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG",Insurance brokers/Services,Finance,Ireland,Aon plc
AORT,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Medical specialties,Health technology,United States,"Artivion, Inc."
AOS,"S&P 500, S&P 500 Industrials, Russell 3000, Russell 1000",Building products,Producer manufacturing,United States,A.O. Smith Corporation
AP,,Steel,Non-energy minerals,United States,Ampco-Pittsburgh Corporation
APAM,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Investment managers,Finance,United States,Artisan Partners Asset Management Inc.
APD,"S&P 500, S&P 500 Materials, Russell 3000, Russell 1000, S&P 500 ESG",Chemicals: specialty,Process industries,United States,"Air Products and Chemicals, Inc."
APG,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Engineering & construction,Industrial services,United States,APi Group Corporation
APH,"S&P 500, S&P 500 Information Technology, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000",Electronic components,Electronic technology,United States,Amphenol Corporation
APLE,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Apple Hospitality REIT Inc
APO,"S&P 500, Nasdaq US Large Cap Growth, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG",Investment managers,Finance,United States,"Apollo Global Management, Inc. (New)"
APTV,"S&P 500, S&P 500 Consumer Discretionary, Russell 3000, Russell 1000, S&P 500 ESG",Electrical products,Producer manufacturing,Switzerland,Aptiv PLC
AR,"S&P MidCap 400, Russell 3000, Russell 1000",Oil & gas production,Energy minerals,United States,Antero Resources Corporation
ARCO,,Restaurants,Consumer services,Uruguay,Arcos Dorados Holdings Inc.
ARDC,,Investment trusts/Mutual funds,Miscellaneous,United States,"Ares Dynamic Credit Allocation Fund, Inc."
ARDT,"Russell 2000, Mini-Russell 2000",Hospital/Nursing management,Health services,United States,"Ardent Health, Inc."
ARE,"S&P 500, S&P 500 Real Estate, Russell 3000, Russell 1000, S&P 500 ESG",Real estate investment trusts,Finance,United States,"Alexandria Real Estate Equities, Inc."
ARES,"Nasdaq US Large Cap Growth, Russell 3000, Russell 1000",Investment managers,Finance,United States,Ares Management Corporation
ARI,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"Apollo Commercial Real Estate Finance, Inc."
ARL,"Russell 2000, Mini-Russell 2000",Real estate development,Finance,United States,"American Realty Investors, Inc."
ARLO,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Telecommunications equipment,Electronic technology,United States,"Arlo Technologies, Inc."
ARMK,"S&P MidCap 400, Russell 3000, Russell 1000",Restaurants,Consumer services,United States,Aramark
AROC,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Oilfield services/Equipment,Industrial services,United States,"Archrock, Inc."
ARR,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,"ARMOUR Residential REIT, Inc."
ARW,"S&P MidCap 400, Russell 3000, Russell 1000",Electronics distributors,Distribution services,United States,"Arrow Electronics, Inc."
ARX,,Internet software/Services,Technology services,Cayman Islands,Accelerant Holdings
AS,"Russell 3000, Russell 1000",Recreational products,Consumer durables,Finland,"Amer Sports, Inc."
ASA,,Investment trusts/Mutual funds,Miscellaneous,United States,ASA Gold and Precious Metals Limited
ASAN,"Russell 2000, ISE CTA Cloud Computing, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Packaged software,Technology services,United States,"Asana, Inc."
ASB,"Russell 2000, S&P MidCap 400, Russell 3000, Mini-Russell 2000",Major banks,Finance,United States,Associated Banc-Corp
ASC,"Russell 2000, Russell 3000, Mini-Russell 2000",Marine shipping,Transportation,Bermuda,Ardmore Shipping Corporation
ASG,,Investment trusts/Mutual funds,Miscellaneous,United States,Liberty All-Star Growth Fund Inc
ASGI,,Investment trusts/Mutual funds,Miscellaneous,United States,abrdn Global Infrastructure Income Fund
ASGN,"Russell 2000, S&P MidCap 400, Russell 3000, Mini-Russell 2000",Information technology services,Technology services,United States,ASGN Incorporated
ASH,"S&P MidCap 400, Russell 3000, Russell 1000",Food: specialty/candy,Consumer non-durables,United States,Ashland Inc.
ASIC,"Russell 2000, Mini-Russell 2000",Property/Casualty insurance,Finance,United States,Ategrity Specialty Insurance Company Holdings
ASIX,"Russell 2000, Russell 3000, Mini-Russell 2000",Chemicals: specialty,Process industries,United States,AdvanSix Inc.
ASPN,"Russell 2000, Russell 3000, Mini-Russell 2000, NASDAQ Clean Edge Green Energy",Industrial specialties,Process industries,United States,"Aspen Aerogels, Inc."
ATEN,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Information technology services,Technology services,United States,"A10 Networks, Inc."
ATGE,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Other consumer services,Consumer services,United States,Adtalem Global Education Inc.
ATH/PA,,Life/Health insurance,Finance,United States,"Athene Holding Ltd. Depositary Shares, Each Representing a 1/1,000th Interest in a 6.35% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Share, Serie"
ATHM,NASDAQ Golden Dragon China,Internet software/Services,Technology services,China,Autohome Inc. Sponsored ADR Class A
ATI,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Other metals/Minerals,Non-energy minerals,United States,ATI Inc.
ATKR,"Russell 2000, Russell 3000, Mini-Russell 2000",Electrical products,Producer manufacturing,United States,Atkore Inc.
ATMU,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Auto parts: OEM,Producer manufacturing,United States,Atmus Filtration Technologies Inc.
ATO,"S&P 500, S&P 500 Utilities, Nasdaq US Mid Cap Growth, Russell 3000, Dow Jones Utility Average, Dow Jones Composite Average, Russell 1000",Gas distributors,Utilities,United States,Atmos Energy Corporation
ATR,"S&P MidCap 400, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000",Containers/Packaging,Process industries,United States,"AptarGroup, Inc."
ATUS,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Major telecommunications,Communications,United States,"Altice USA, Inc."
AU,"PHLX Gold/Silver Sector, Russell 3000, Russell 1000",Precious metals,Non-energy minerals,United Kingdom,Anglogold Ashanti PLC
AUB,"Russell 2000, Russell 3000, Mini-Russell 2000",Regional banks,Finance,United States,Atlantic Union Bankshares Corporation
AUNA,,Medical/Nursing services,Health services,Luxembourg,Auna SA
AVA,"Russell 2000, Russell 3000, Mini-Russell 2000",Electric utilities,Utilities,United States,Avista Corporation
AVB,"S&P 500, S&P 500 Real Estate, Nasdaq US Mid Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Real estate investment trusts,Finance,United States,"AvalonBay Communities, Inc."
AVBC,,Savings banks,Finance,United States,"Avidia Bancorp, Inc."
AVD,"Russell 2000, Russell 3000, Mini-Russell 2000",Chemicals: agricultural,Process industries,United States,American Vanguard Corporation
AVK,,Investment trusts/Mutual funds,Miscellaneous,United States,Advent Convertible and Income Fund
AVNS,"Russell 2000, Russell 3000, Mini-Russell 2000",Medical specialties,Health technology,United States,"Avanos Medical, Inc."
AVNT,"Russell 2000, S&P MidCap 400, Russell 3000, Mini-Russell 2000",Chemicals: major diversified,Process industries,United States,Avient Corporation
AVTR,"S&P MidCap 400, Russell 3000, Russell 1000",Medical specialties,Health technology,United States,"Avantor, Inc."
AVY,"S&P 500, S&P 500 Materials, Russell 3000, Russell 1000, S&P 500 ESG",Pulp & paper,Process industries,United States,Avery Dennison Corporation
AWF,,Investment trusts/Mutual funds,Miscellaneous,United States,AllianceBernstein Global High Income Fund Inc
AWI,"Nasdaq US Mid Cap Growth, Russell 3000, PHLX Housing Sector, Russell 1000",Miscellaneous manufacturing,Producer manufacturing,United States,Armstrong World Industries Inc
AWK,"S&P 500, S&P 500 Utilities, Nasdaq US Mid Cap Growth, Russell 3000, Dow Jones Utility Average, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, PHLX Utilities Sector",Water utilities,Utilities,United States,"American Water Works Company, Inc."
AWP,,Investment trusts/Mutual funds,Miscellaneous,United States,abrdn Global Premier Properties Fund
AWR,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Water utilities,Utilities,United States,American States Water Company
AX,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Major banks,Finance,United States,"Axos Financial, Inc."
AXL,"Russell 2000, Russell 3000, Mini-Russell 2000",Auto parts: OEM,Producer manufacturing,United States,"American Axle & Manufacturing Holdings, Inc."
AXP,"S&P 500, Dow Jones Industrial Average, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, S&P 500 Financials, Dow Jones Composite Average, Russell 1000, S&P 500 ESG, NYSE Arca Major Market, KBW NASDAQ Financial Technology Index",Finance/Rental/Leasing,Finance,United States,American Express Company
AXR,,Real estate development,Finance,United States,AMREP Corporation
AXS,"Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Multi-line insurance,Finance,Bermuda,Axis Capital Holdings Limited
AXTA,"S&P MidCap 400, Russell 3000, Russell 1000",Industrial specialties,Process industries,United States,Axalta Coating Systems Ltd.
AYI,"S&P MidCap 400, Russell 3000, Russell 1000, NASDAQ Clean Edge Green Energy",Electrical products,Producer manufacturing,United States,Acuity Inc.
AZO,"S&P 500, S&P 500 Consumer Discretionary, Nasdaq US Large Cap Growth, Russell 3000, Russell 1000, S&P 500 ESG",Specialty stores,Retail trade,United States,"AutoZone, Inc."
AZZ,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Industrial specialties,Process industries,United States,AZZ Inc.
BA,"S&P 500, Dow Jones Industrial Average, S&P 500 Industrials, S&P 100, Nasdaq US Large Cap Growth, Russell 3000, Dow Jones Composite Average, Russell 1000, NYSE Arca Major Market",Aerospace & defense,Electronic technology,United States,Boeing Company (The)
BABA,"NASDAQ Golden Dragon China, NASDAQ CB Insights Metaverse US Index",Internet retail,Retail trade,China,Alibaba Group Holding Limited Sponsored ADR
BAC,"S&P 500, S&P 100, KBW NASDAQ Bank, Russell 3000, S&P 500 Financials, Russell 1000, S&P 500 ESG",Major banks,Finance,United States,Bank of America Corporation
BAH,"Russell 3000, Russell 1000",Miscellaneous commercial services,Commercial services,United States,Booz Allen Hamilton Holding Corporation
BALL,"S&P 500, S&P 500 Materials, Russell 3000, Russell 1000, S&P 500 ESG",Containers/Packaging,Process industries,United States,Ball Corporation
BALY,"Russell 2000, Nasdaq US Small Cap Growth, Mini-Russell 2000",Casinos/Gaming,Consumer services,United States,Bally's Corporation
BAM,"Russell 3000, Russell 1000",Investment managers,Finance,United States,Brookfield Asset Management Inc
BANC,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Regional banks,Finance,United States,"Banc of California, Inc."
BAP,,Major banks,Finance,Peru,Credicorp Ltd.
BARK,"Russell 2000, Mini-Russell 2000",Agricultural commodities/Milling,Process industries,United States,"BARK, Inc."
BAX,"S&P 500, S&P 500 Health Care, Russell 3000, Russell 1000, S&P 500 ESG",Medical specialties,Health technology,United States,Baxter International Inc.
BBAI,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Packaged software,Technology services,United States,"BigBear.ai, Inc."
BBBY,"Russell 2000, Russell 3000, Mini-Russell 2000",Internet retail,Retail trade,United States,"Bed Bath & Beyond, Inc."
BBDC,,Investment trusts/Mutual funds,Miscellaneous,United States,"Barings BDC, Inc."
BBN,,Investment trusts/Mutual funds,Miscellaneous,United States,BlackRock Taxable Municipal Bond Trust
BBT,"Russell 2000, Russell 3000, Mini-Russell 2000",Regional banks,Finance,United States,Beacon Financial Corporation
BBW,"Russell 2000, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Specialty stores,Retail trade,United States,"Build-A-Bear Workshop, Inc."
BBWI,"S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Russell 1000",Specialty stores,Retail trade,United States,"Bath & Body Works, Inc."
BBY,"S&P 500, S&P 500 Consumer Discretionary, Russell 3000, Russell 1000, S&P 500 ESG",Electronics/Appliance stores,Retail trade,United States,"Best Buy Co., Inc."
BC,"S&P MidCap 400, Russell 3000, Russell 1000",Trucks/Construction/Farm machinery,Producer manufacturing,United States,Brunswick Corporation
BCAT,,Investment trusts/Mutual funds,Miscellaneous,United States,BlackRock Capital Allocation Term Trust
BCC,"Russell 2000, Russell 3000, Mini-Russell 2000",Wholesale distributors,Distribution services,United States,"Boise Cascade, L.L.C."
BCO,"Russell 2000, S&P MidCap 400, Russell 3000, Mini-Russell 2000",Miscellaneous commercial services,Commercial services,United States,Brinks Company (The)
BCSF,,Financial conglomerates,Finance,United States,"Bain Capital Specialty Finance, Inc."
BCSS.U,,Financial conglomerates,Finance,United States,Bain Capital GSS Investment Corp. Units Cons of 1 Shs -A- + 1/5 Red Wt
BCX,,Investment trusts/Mutual funds,Miscellaneous,United States,BlackRock Resources & Commodities Strategy Trust
BDC,"Russell 2000, S&P MidCap 400, Nasdaq US Small Cap Growth, Russell 3000, Mini-Russell 2000",Electrical products,Producer manufacturing,United States,Belden Inc
BDJ,,Investment trusts/Mutual funds,Miscellaneous,United States,BlackRock Enhanced Equity Dividend Trust
BDN,"Russell 2000, Russell 3000, Mini-Russell 2000",Real estate investment trusts,Finance,United States,Brandywine Realty Trust
